,gdp_real,gdp_nominal,unemployment_rate,cpi_all_items,industrial_production_index,exports_volume,imports_volume,population_total,country
1980-03-31,223045750000.0,274776566028.053,7.566667,33.36844666666667,57.1123,24.1247227220462,21.9119921550553,24515667.0,canada
1980-06-30,222948250000.0,,7.733333,34.29023,54.90294,22.9147858052837,21.3085851454702,,canada
1980-09-30,222763000000.0,,7.5,35.26468666666667,54.94860666666667,23.2857874656204,20.498193393498,,canada
1980-12-31,225845250000.0,,7.266667,36.239133333333335,56.56712666666667,23.7784780083728,21.7910749529868,,canada
1981-03-31,230710750000.0,307246642755.859,7.4,37.476956666666666,56.46697,22.9603874107558,21.4595087758579,24819915.0,canada
1981-06-30,233233250000.0,,7.1666669999999995,38.58309666666667,57.19544333333334,23.1995232366342,22.3983977243734,,canada
1981-09-30,231136250000.0,,7.466667,39.7419,56.19911,22.2143691082617,21.592043284302,,canada
1981-12-31,230073250000.0,,8.433333,40.71635666666666,54.979000000000006,22.5465054817775,20.8333198802638,,canada
1982-03-31,227440250000.0,314647807408.608,8.933333,41.74348,53.89432,21.7652940765214,18.5084715151008,25116942.0,canada
1982-06-30,224821750000.0,,10.4,43.033973333333336,51.96038333333333,22.2237808406822,17.7817022171047,,canada
1982-09-30,222828000000.0,,12.1,43.955756666666666,50.89444666666666,22.6689516099095,17.5798052285977,,canada
1982-12-31,220771750000.0,,12.96667,44.640510000000006,50.28486,20.4844282996519,16.0822606892144,,canada
1983-03-31,224379750000.0,341866277182.733,12.63333,44.95654666666667,51.39568666666667,20.9710219698101,16.8681682560126,25366451.0,canada
1983-06-30,228806250000.0,,12.4,45.56228333333333,53.250723333333326,21.5191432782405,17.3223433625042,,canada
1983-09-30,231376750000.0,,11.66667,46.299710000000005,55.73850000000001,21.1124491684037,17.8806069380095,,canada
1983-12-31,234253250000.0,,11.3,46.72109666666666,57.529920000000004,22.4913215718923,19.7984104397244,,canada
1984-03-31,238310500000.0,356718400123.543,11.3,47.274166666666666,58.71223333333334,23.4464781386263,20.1018332814058,25607053.0,canada
1984-06-30,242935250000.0,,11.5,47.66921666666667,61.480153333333334,24.1888854414548,20.6471890924908,,canada
1984-09-30,243979750000.0,,11.43333,48.06426666666666,62.332713333333345,25.3200985345014,21.4320874183183,,canada
1984-12-31,247787500000.0,,11.26667,48.43297333333334,62.803403333333335,24.1273665131682,20.3933078909809,,canada
1985-03-31,251594500000.0,366186012449.652,10.8,48.98604,63.947766666666666,24.2922981630687,19.9392242841853,25842116.0,canada
1985-06-30,252403750000.0,,10.7,49.56544666666667,64.21169333333333,24.1349262430804,20.8926795220795,,canada
1985-09-30,255608000000.0,,10.3,50.03950666666666,64.70694666666667,23.2429246079197,21.2685134835564,,canada
1985-12-31,259505000000.0,,10.23333,50.434553333333334,65.60297333333334,23.8295781999542,21.3621090743636,,canada
1986-03-31,259373499999.99997,379006836991.724,9.833333,51.09296333333333,65.39321666666666,22.9622145264668,21.3315542255096,26100278.0,canada
1986-06-30,260864250000.00003,,9.6,51.51435,64.03563666666668,22.7206572949199,21.2874061743572,,canada
1986-09-30,261192250000.0,,9.566667,52.12009333333333,63.59093333333334,22.8696767379578,21.7975934517747,,canada
1986-12-31,259301499999.99997,,9.433333,52.64682666666666,63.79801,23.0992574609811,21.041802474131,,canada
1987-03-31,265295000000.00003,433134238310.709,9.466666,53.14722333333333,65.40455666666666,21.846931313848,19.7033760253691,26446601.0,canada
1987-06-30,268693499999.99997,,9.0,53.91098333333333,65.71068666666666,21.3250854746044,19.8825561312608,,canada
1987-09-30,272798749999.99997,,8.566667,54.49038333333332,67.58510333333334,21.5670471737038,20.3128180442855,,canada
1987-12-31,276323000000.0,,8.166667,54.859096666666666,69.38565666666666,22.3565865449174,21.0022827984423,,canada
1988-03-31,280349000000.0,509380027626.554,7.9,55.33315666666667,70.93661666666667,22.5247975277765,22.8147731067128,26791747.0,canada
1988-06-30,282836750000.0,,7.7,56.04424666666667,71.48824666666667,22.5102387759833,20.6040233881977,,canada
1988-09-30,282878750000.0,,7.8,56.64999,71.16557999999999,21.5239977700066,20.1918934671329,,canada
1988-12-31,284820000000.0,,7.7,57.09771333333333,70.86591,21.8380667879789,20.2186725625245,,canada
1989-03-31,288111000000.0,567211993243.243,7.533333,57.808793333333334,71.46856000000001,21.5009753718605,20.5855888807608,27276781.0,canada
1989-06-30,289231750000.0,,7.6666669999999995,58.80958666666667,71.23171666666667,20.5370025321294,20.5775524341885,,canada
1989-09-30,290276000000.0,,7.366667,59.652359999999994,70.21964000000001,20.0757437434843,19.3319119110865,,canada
1989-12-31,289698250000.0,,7.466667,60.073746666666665,70.26845333333334,20.5258707753012,20.0480306268643,,canada
1990-03-31,292484250000.0,596075591360.987,7.633333,60.94285,69.77870666666666,21.0786093350753,20.2115248985444,27691138.0,canada
1990-06-30,291310750000.0,,7.6666669999999995,61.52225333333333,69.72154333333333,21.6294434924614,19.7363518222488,,canada
1990-09-30,289223000000.0,,8.166667,62.12799666666666,68.79386666666666,21.4845116127072,18.8586810074475,,canada
1990-12-31,286647750000.0,,9.133333,63.04977333333334,66.97835333333333,21.4870372921833,19.5448700284743,,canada
1991-03-31,282524000000.0,612527712315.615,10.16667,64.867,65.94611333333333,20.5001671450473,19.1297506656984,28037420.0,canada
1991-06-30,283880000000.0,,10.33333,65.34106,66.06799666666667,20.8506040719983,18.8018335965517,,canada
1991-09-30,284256500000.0,,10.43333,65.73611,66.67458666666666,21.1490984625338,19.6150375427783,,canada
1991-12-31,284756000000.0,,10.33333,65.63076333333333,66.07713,20.7173461475331,19.6579672739828,,canada
1992-03-31,284957000000.0,594387358318.855,10.6,65.89413,66.35648666666667,21.6492771912429,20.0107604421359,28371264.0,canada
1992-06-30,285281750000.0,,11.0,66.23650666666667,66.75017333333334,22.459789798865,20.3348891351309,,canada
1992-09-30,286827000000.0,,11.53333,66.52620999999999,66.55238333333334,22.8380677881551,20.7258265665272,,canada
1992-12-31,288461250000.0,,11.73333,66.81591333333334,67.92681666666667,23.6830498314387,21.3218172718923,,canada
1993-03-31,290292750000.0,579053561739.4,11.13333,67.28996333333333,69.11716333333334,24.2099755842344,21.8248604813394,28684764.0,canada
1993-06-30,292937000000.0,,11.63333,67.42164666666666,69.49446999999999,25.0505527530321,22.4499839003971,,canada
1993-09-30,295738500000.0,,11.43333,67.68501333333333,70.11066333333333,25.1495597732472,22.8330231392354,,canada
1993-12-31,297003500000.0,,11.3,68.02739,70.97236,25.9654070809523,23.8577272631424,,canada
1994-03-31,301382750000.0,579944346807.264,11.03333,67.65867666666666,71.81295333333334,25.6471185106956,23.5298502826614,29000663.0,canada
1994-06-30,305782500000.0,,10.63333,67.42164666666666,73.83508,28.0290942500574,25.4844703060001,,canada
1994-09-30,309702750000.0,,10.13333,67.79035999999999,75.34273333333333,29.2267577773782,25.8707466682651,,canada
1994-12-31,311952500000.0,,9.766666,68.00105333333333,76.74062666666667,30.9398757751718,27.4137752408768,,canada
1995-03-31,314818750000.0,605961090061.207,9.633333,68.68580666666668,78.48999333333335,31.819916210745,27.8029350511911,29302311.0,canada
1995-06-30,314952500000.0,,9.5,69.23887666666667,77.85197,31.4550657774089,27.5832231412935,,canada
1995-09-30,315368750000.0,,9.433333,69.37055333333332,77.51748666666667,30.9868231497666,26.5074623998771,,canada
1995-12-31,316641500000.0,,9.3,69.39689,77.38131,31.8850454394062,26.609078365133,,canada
1996-03-31,317101000000.0,630607994132.747,9.5,69.68659000000001,77.78,31.4860318783996,27.0104997820442,29610218.0,canada
1996-06-30,319358500000.0,,9.433333,70.23966,78.16509333333333,32.6000581542589,26.6115764494011,,canada
1996-09-30,322040750000.0,,9.666667,70.34500666666666,79.39501333333334,32.7733926786838,27.2548302920383,,canada
1996-12-31,324592250000.0,,9.833333,70.76639333333334,79.60000666666667,31.4559748427673,27.3034819068453,,canada
1997-03-31,328941500000.0,654986999855.554,9.433333,71.16144333333334,81.07128999999999,32.805770240023,28.7118782436294,29905948.0,canada
1997-06-30,332643250000.0,,9.3,71.37213666666666,82.01537,32.6207344353867,30.0108515341134,,canada
1997-09-30,336586750000.0,,8.866667,71.55649333333334,83.45159,32.9073686886618,30.5585580846932,,canada
1997-12-31,339839500000.0,,8.766666,71.50382,84.43426666666666,33.1215827182406,31.0570358665772,,canada
1998-03-31,344638000000.0,634000000000.0,8.6,71.89886,84.99875333333334,32.8327477070699,31.1841919427527,30155173.0,canada
1998-06-30,344820500000.0,,8.333333,72.08321666666667,85.05294333333333,33.3433702732642,31.4958747321463,,canada
1998-09-30,347962500000.0,,8.2,72.16222666666667,84.97660666666667,33.942220025733,31.2721222914306,,canada
1998-12-31,352677250000.0,,8.033334,72.29391,86.64383333333335,35.2699119870456,32.9247317240974,,canada
1999-03-31,359045000000.0,678412196271.118,7.9,72.45192999999999,88.44595333333332,35.0267831508142,31.8381526598581,30401286.0,canada
1999-06-30,362006250000.0,,7.9,73.24203,89.03078666666666,34.490289406662,31.4135582172904,,canada
1999-09-30,367680500000.0,,7.5,73.74242666666667,91.27704666666666,35.4608404124907,31.4432081213503,,canada
1999-12-31,372831500000.0,,6.966667,74.00579333333333,93.12898666666666,36.0264671638866,32.4402202522988,,canada
2000-03-31,378669000000.0,744773415931.587,6.866667,74.37450666666666,94.97113,36.8558047744882,32.2436057963648,30685730.0,canada
2000-06-30,383125750000.0,,6.6666669999999995,75.03292333333333,96.38225999999999,37.358710916751,32.6354679802956,,canada
2000-09-30,387053000000.0,,6.9,75.74401333333333,97.73073333333333,37.0477317948096,31.9238559131656,,canada
2000-12-31,387818500000.0,,6.9,76.27074,98.27792,38.1422215945202,32.3052044347151,,canada
