,gdp_real,gdp_nominal,unemployment_rate,cpi_all_items,industrial_production_index,exports_volume,imports_volume,stock_market_index,population_total,country
1980-03-31,,1129377244854.04,1.8999999999999997,72.11334333333333,71.67680333333334,,,6686.437627118644,116807000.0,japan
1980-06-30,,,1.9666666666666668,74.42097,71.92918333333334,,,6792.030952380953,,japan
1980-09-30,,,2.033333333333333,75.20149333333335,70.13446333333333,,,6871.575,,japan
1980-12-31,,,2.1666666666666665,76.15169666666667,70.30272000000001,,,7121.896,,japan
1981-03-31,,1245221410764.15,2.1999999999999997,76.86434333333334,70.66727333333334,,,7203.949516129032,117661000.0,japan
1981-06-30,,,2.2666666666666666,78.08602666666667,70.61118666666667,,,7538.617846153846,,japan
1981-09-30,,,2.1666666666666665,78.35751666666667,72.23765333333334,,,7758.465151515152,,japan
1981-12-31,,,2.2,79.27377333333334,73.27523,,,7554.394848484849,,japan
1982-03-31,,1158731426905.85,2.2333333333333334,79.27377333333334,72.60220666666666,,,7539.7753125,118480000.0,japan
1982-06-30,,,2.3333333333333335,80.12217333333335,71.78896999999999,,,7324.214,,japan
1982-09-30,,,2.3666666666666667,80.52939666666667,72.18156666666667,,,7089.8739393939395,,japan
1982-12-31,,,2.466666666666667,81.24204333333334,71.25616333333333,,,7638.418181818181,,japan
1983-03-31,,1270859919742.9,2.6666666666666665,80.97055999999999,72.09743666666667,,,8086.86359375,119307000.0,japan
1983-06-30,,,2.6666666666666665,81.92075999999999,73.16305333333334,,,8610.639692307692,,japan
1983-09-30,,,2.6999999999999997,81.71714999999999,74.98582666666665,,,9108.926515151516,,japan
1983-12-31,,,2.6,82.59947333333334,76.72446666666667,,,9442.789999999999,,japan
1984-03-31,,1345824500836.76,2.7000000000000006,82.93883333333333,79.30438,,,10138.324307692306,120083000.0,japan
1984-06-30,,,2.733333333333333,83.58361333333333,80.37000333333333,,,10565.430153846153,,japan
1984-09-30,,,2.733333333333333,83.54967333333333,81.57583333333334,,,10372.620307692307,,japan
1984-12-31,,,2.6666666666666665,84.49987,83.37055333333333,,,11184.275606060606,,japan
1985-03-31,,1427019759717.41,2.566666666666667,84.60167333333334,83.48272000000001,,,12110.338095238096,120837000.0,japan
1985-06-30,,,2.566666666666667,85.38220333333334,84.40813,,,12568.243076923078,,japan
1985-09-30,,,2.6,85.51794333333333,84.324,,,12648.069242424242,,japan
1985-12-31,,,2.766666666666667,85.89123666666667,84.35204333333333,,,12882.99196969697,,japan
1986-03-31,,2120083812109.91,2.6666666666666665,85.92517,84.09965666666666,,,13613.0215625,121482000.0,japan
1986-06-30,,,2.766666666666667,86.12878333333333,84.12769999999999,,,16222.716923076925,,japan
1986-09-30,,,2.8333333333333335,85.72155666666667,83.87532,,,17982.483787878788,,japan
1986-12-31,,,2.8000000000000003,85.68762333333332,83.81923666666667,,,17665.92393939394,,japan
1987-03-31,,2580748422781.09,2.9333333333333336,85.21252666666668,84.60442333333333,,,20250.051166666668,122069000.0,japan
1987-06-30,,,3.0,86.26452666666667,84.77268,,,24284.159677419353,,japan
1987-09-30,,,2.766666666666667,86.09485,87.60498,,,24804.71046875,,japan
1987-12-31,,,2.7000000000000006,86.3324,90.49336666666666,,,23446.18524590164,,japan
1988-03-31,,3125724434400.79,2.6666666666666665,85.85730000000001,92.92415333333334,,,24347.009508196723,122578000.0,japan
1988-06-30,,,2.466666666666667,86.43420333333334,94.34387,,,27399.01213114754,,japan
1988-09-30,,,2.533333333333333,86.60388333333333,95.45936999999999,,,27750.06328125,,japan
1988-12-31,,,2.4,87.24866000000002,96.91289333333333,,,28636.41080645161,,japan
1989-03-31,,3109455047823.93,2.3333333333333335,86.77356333333334,99.65092333333332,,,31714.255833333336,123069000.0,japan
1989-06-30,,,2.3000000000000003,88.80971,100.66503333333333,,,33524.67290322581,,japan
1989-09-30,,,2.2,88.97938666666666,100.42836666666666,,,34441.95859375,,japan
1989-12-31,,,2.1666666666666665,89.52235666666667,100.86783333333334,,,36473.30163934426,,japan
1990-03-31,,3185904656663.85,2.1333333333333333,89.86171,101.8481,,,35304.24050847458,123478000.0,japan
1990-06-30,,,2.1333333333333333,91.0834,104.0115,,,31173.618387096776,,japan
1990-09-30,,,2.066666666666667,91.25307333333335,105.66783333333335,,,27834.8525,,japan
1990-12-31,,,2.066666666666667,92.74624666666666,107.05373333333334,,,23678.704590163936,,japan
1991-03-31,,3648065760648.88,2.1,93.22134333333334,107.527,,,25024.701379310343,123964000.0,japan
1991-06-30,,,2.1,94.17154666666666,107.08756666666666,,,25634.91838709677,,japan
1991-09-30,,,2.1,94.17154666666666,106.58053333333334,,,23000.24359375,,japan
1991-12-31,,,2.066666666666667,95.32535666666666,105.36363333333334,,,23611.253064516128,,japan
1992-03-31,,3980702922117.66,2.066666666666667,94.986,103.23403333333333,,,21177.741016949152,124425000.0,japan
1992-06-30,,,2.1,96.30949,100.73263000000001,,,17576.007540983606,,japan
1992-09-30,,,2.1666666666666665,95.86832666666668,100.39456666666666,,,16719.48453125,,japan
1992-12-31,,,2.2666666666666666,96.24162333333334,97.82556999999998,,,17132.020655737706,,japan
1993-03-31,,4536940479038.25,2.3,96.24162333333334,98.19739666666668,,,17296.644426229508,124829000.0,japan
1993-06-30,,,2.433333333333333,97.12395,98.12979666666668,,,20225.489500000003,,japan
1993-09-30,,,2.533333333333333,97.56511666666667,96.74387666666667,,,20399.685468749998,,japan
1993-12-31,,,2.733333333333333,97.29363000000001,95.45936666666667,,,18432.730163934426,,japan
1994-03-31,446223.0,4998797547740.97,2.8666666666666667,97.39542999999999,95.39176333333334,7.8438788053664,5.21442092802297,19474.75786885246,125178000.0,japan
1994-06-30,443814.6,,2.7999999999999994,97.87053666666668,97.58895,7.93965792615917,5.46318507985665,20397.335081967212,,japan
1994-09-30,448905.0,,2.966666666666667,97.56511666666667,99.58332666666666,7.89471250655454,5.58509248483927,20369.570461538464,,japan
1994-12-31,447190.2,,2.9333333333333336,98.07414666666666,100.83403333333332,8.00959307809526,5.76381189575308,19473.216721311474,,japan
1995-03-31,452020.0,5545563663889.7,3.033333333333333,97.59904999999999,100.76640333333334,7.93599859559508,5.82523547862399,17756.831639344262,125472000.0,japan
1995-06-30,456344.5,,3.0666666666666664,97.83660000000002,101.94953333333332,7.80513590594485,5.76566829137587,15848.828225806452,,japan
1995-09-30,461687.9,,3.1666666666666665,97.59904999999999,100.36079,7.81568380838108,5.97019905868524,17224.25421875,,japan
1995-12-31,462875.0,,3.3333333333333335,97.53117666666667,102.28756666666668,8.22031930306276,6.63790896058096,18499.192419354837,,japan
1996-03-31,466647.5,4923391533851.63,3.3666666666666667,97.25969666666667,101.8143,8.19526139806714,6.72971747952497,20517.042711864407,125757000.0,japan
1996-06-30,472558.4,,3.4,97.97234333333334,102.49036666666666,8.20946100618969,7.1542411133642,21924.17693548387,,japan
1996-09-30,473154.7,,3.3333333333333335,97.80266333333334,103.87633333333333,8.29997508109834,7.1135018666794,21103.77078125,,japan
1996-12-31,478473.3,,3.3666666666666667,98.07414999999999,105.93823333333334,8.66648826800899,7.38561941726473,20800.458032786883,,japan
1997-03-31,479556.3,4492448605638.94,3.3333333333333335,97.83660000000002,108.54109999999999,9.04881937688183,7.79459693743458,18289.24327586207,126057000.0,japan
1997-06-30,476093.7,,3.3333333333333335,99.90668,107.96643333333333,9.51729715046295,7.56315234423963,19576.47650793651,,japan
1997-09-30,477001.4,,3.4333333333333336,99.87275,108.33826666666666,9.22554475306146,7.34802944762179,19192.58968253968,,japan
1997-12-31,477207.0,,3.5,100.14423,105.76926666666667,9.673534032187,7.4174872940006,16461.718524590164,,japan
1998-03-31,471282.1,4098362709531.24,3.6666666666666665,99.73700000000001,103.60606666666666,9.59325155404076,7.16303700886605,16538.451333333334,126400000.0,japan
1998-06-30,469326.3,,4.066666666666666,100.24606666666666,100.48793333333333,9.65420925056392,6.85128034467834,15558.496935483872,,japan
1998-09-30,470140.8,,4.266666666666667,99.66914333333334,99.24779333333333,9.74059481829492,7.09449068744374,15287.001428571428,,japan
1998-12-31,473925.3,,4.3999999999999995,100.6872,98.57457,8.88216166658971,6.1334227889724,14079.279516129032,,japan
1999-03-31,467341.3,4635982224063.88,4.6000000000000005,99.63519333333333,100.02731999999999,8.71144506371684,6.40649639973099,14523.734166666667,126631000.0,japan
1999-06-30,469195.4,,4.733333333333333,99.97458,99.99187666666667,8.88749069163514,6.58288243676927,16792.048360655735,,japan
1999-09-30,471676.9,,4.7,99.66913,101.44463333333334,9.19844402734398,6.81265763058306,17730.510000000002,,japan
1999-12-31,471828.1,,4.633333333333333,99.66914000000001,102.82653333333333,9.17125145072316,6.8810992417781,18179.88868852459,,japan
2000-03-31,479990.3,4968359075956.59,4.833333333333333,99.02435000000001,103.4289,9.23760669450125,7.1130118472311,19507.62360655738,126843000.0,japan
2000-06-30,482123.9,,4.7,99.26190333333334,106.01553333333334,9.56526683648042,7.38052676135689,17814.146451612905,,japan
2000-09-30,482261.0,,4.666666666666667,99.02435000000001,106.75959999999999,9.79752917710271,7.84170508520431,16478.601746031745,,japan
2000-12-31,486917.4,,4.733333333333333,98.88860333333334,107.99973333333332,9.91960605157966,8.26914379362779,14828.509677419355,,japan
