date,gdp_constant,inflation,exports,gross_capital_formation,government_expenditure,trade_balance,population,urban_population,gni_per_capita,interest_rate,fdi_inflows,external_debt,services_value_added
2000-01-01,800534479623.61,4.00943591045191,60878472821.2004,120271401428.678,55963126271.9725,-4245772553.85266,1057922733,292695483,440,8.34261083140927,3584217307.18755,101131491179.6,200159114670.29
2001-01-01,839151992864.812,3.77929312235638,60963415576.6447,145184897910.805,57094798714.0268,-4254860905.48757,1077898575,300927724,450,8.59144929637163,5128093561.62688,99500093585.5,212666282534.757
2002-01-01,871073127580.09,4.29715203929563,73452895951.6331,155775784776.875,58260703884.4037,-5045863334.09825,1097600380,310006251,460,7.90717718897463,5208967106.27894,105741601402.0,230326240071.786
2003-01-01,939542798342.002,3.8058589952885,90838575243.7621,187413068492.144,66094802386.139,-4233294134.79524,1116803006,319092955,510,7.30788116038414,3681984671.43428,118884622369.5,271670438867.668
2004-01-01,1013982178697.24,3.76725173477515,126648472020.752,248887728627.02,73785230628.5655,-12662376776.6838,1135991513,328335627,610,4.9101283033462,5429250989.85717,123644485822.1,312841726221.538
2005-01-01,1094324353140.52,4.24634362031923,160838260680.778,307055400956.369,85042131081.0356,-22898356562.5501,1154676322,337569623,700,4.85514517186609,7269407225.61437,121195478444.5,364602605726.773
2006-01-01,1182534912713.8,5.79652337561633,199973922363.783,366687312639.919,92168697919.314,-29981104763.5886,1172878890,346808559,780,2.5706067017683,20029119267.1396,159525518911.4,414120879119.106
2007-01-01,1273126725479.64,6.37288135593232,253077526013.168,510430648406.794,119995955707.838,-49726426539.3318,1190676021,356083571,910,5.68184406453711,25227740886.6819,204057539299.5,535463293519.206
2008-01-01,1312424303406.43,8.34926704907581,288902044820.698,460644521506.104,126345338308.574,-62024910978.4082,1207930964,365350799,990,3.77175624965394,43406277075.8109,227111768434.6,550083660484.889
2009-01-01,1415605643155.69,10.8823529411764,273752124889.211,526782184418.779,153775903892.302,-73425843079.1054,1225524753,374851256,1110,4.80859210766597,35581372929.6641,256312241333.4,617065632079.319
2010-01-01,1535897931732.14,11.9893899204244,375353514026.267,666654093364.027,184445185751.038,-74620856172.5351,1243481564,384608848,1210,-1.98385922139866,27396885033.7838,290427544563.2,754592496676.246
2011-01-01,1616399198833.92,8.9117933648337,447384417625.093,721753910094.54,202075479769.498,-119283327194.816,1261224954,394460717,1350,1.31798086194015,36498654597.8589,334399298473.1,828433860546.791
2012-01-01,1704596203504.32,9.47899691419798,448400477361.254,700851783791.42,195262172598.014,-122906076681.132,1278674502,404495892,1460,2.47352048880901,23995685014.2141,392576050359.7,846217172810.479
2013-01-01,1813453530766.63,10.0178784746103,472180271340.149,631716032985.4,191152452599.851,-55375035765.8071,1295829511,414704318,1500,3.86599286270871,28153031270.3202,427245079805.9,867065080903.218
2014-01-01,1947834564908.95,6.66565671867896,468345815420.933,698763898362.984,212902275825.009,-60893612907.7324,1312277191,424967846,1540,6.69517609043592,34576643694.1382,457507409077.4,975159501862.41
2015-01-01,2103588360044.94,4.9069734412726,416787940847.812,675603796764.315,219368309510.089,-48309654578.3717,1328024498,435286590,1580,7.55648841353986,44009492129.5319,478831010025.1,1005173363454.9
2016-01-01,2277267041550.36,4.94821634062135,439642578076.358,692401963751.449,236560240175.816,-40526477691.9238,1343944296,445947596,1670,6.2327114148242,44458571545.798,455541896498.9,1095751773725.9
2017-01-01,2432016068497.75,3.328173374613,498258808231.521,821484338748.471,285489509105.813,-83759204290.0468,1359657400,456844886,1790,5.32760886237311,39966091358.7384,511575707373.6,1263981378334.37
2018-01-01,2588974770244.57,3.93882646691633,538635186135.438,874214432208.492,292543981715.747,-101665620603.104,1374659064,467796479,1970,5.36166638954869,42117450737.2643,521175685410.0,1309071161860.53
2019-01-01,2689205295885.31,3.72950573539127,529245063167.215,853409661240.451,311992555245.969,-73069992885.3108,1389030312,478826529,2070,6.89487542729716,50610647353.5911,561017395481.3,1420212198521.9
2020-01-01,2533830417086.54,6.62343677628536,499728529072.629,773630845204.822,310615866617.677,-10516218299.5447,1402617695,489878256,1900,4.13599957786408,64362364994.3753,564979321177.1,1282128264548.68
2021-01-01,2779348258938.77,5.13140747176368,677769255428.552,1017195001183.23,331815250379.339,-83133636377.4612,1414203896,500529185,2170,0.316945144211866,44727277562.881,611987174447.7,1515451052683.95
2022-01-01,2990839011962.46,6.69903414079849,778021514754.531,1124936460051.18,343144570892.613,-119529234327.297,1425423212,511327815,2390,2.52131544946588,49940258404.2659,615516027421.2,1663859377501.84
2023-01-01,3265719695911.24,5.64914318907929,780408530088.596,1213884024774.91,374961664625.633,-76242600458.5254,1438069596,522939628,2580,,28086193530.3979,646787065275.4,1801313631180.96
2024-01-01,3477476264134.11,4.95303550973652,828633462822.497,1275962564853.94,396911857971.305,-90572737248.675,1450935791,534916498,2650,,27139853378.1402,,1950581186121.14
