,mean,std
bond_corporate,166.72,82.11268707174352
bond_gov_10y,5.711967391304348,3.367640692680327
bond_gov_2y,5.23170108695652,3.7481563107526448
bond_gov_5y,5.430581521739129,3.501733533830319
capital_formation,79463157608.69565,13230316408.334354
consumer_confidence,99.96703445652174,2.1430755148716356
cpi_all_items,26.168044710144926,27.484862685029327
cpi_annual_growth,1.9444565809828125,1.3884041691092825
credit_spread,163.0234891304348,83.15765642703647
credit_spread_change,1.617586956521743,6.719483137246607
employment_level,58.30031076761831,0.8009826140941666
exchange_rate_usd,0.6552645363625927,0.07359350245966158
exports_volume,15.8309330155089,1.5635901678964874
gdp_nominal,454078685346.06165,608261599651.052
gdp_real,505214.8695652174,69073.61772494118
government_spending,99087.30434782608,18624.090809943722
household_consumption,284376021739.13043,39834399385.09315
imports_volume,20.128283869520477,1.8634596668268946
industrial_production_index,90.5512831884058,14.409400184914459
interest_rate_long_term,4.145740760869565,1.594982721533583
interest_rate_short_term,5.726402445652174,4.571058452549386
money_supply_broad,933774429347.826,656932269449.8169
population_total,61089308.918255225,4151451.12970071
population_working_age,39006385.86956522,1998216.8493601985
stock_market_index,96.70222320652174,13.978831507179324
trade_balance,-2.664728260869565,1.0658006724032967
unemployment_rate,5.574287663043477,1.0171667183975308
yield_curve_curvature,-0.015646739130434982,0.26016449229173816
yield_curve_slope,0.3821141304347824,0.9011589217244712
gdp_growth_qoq,0.22806064146999366,2.089949609349969
gdp_growth_yoy,0.8939522066346756,3.37017730336039
ip_growth,1.0552494950735944,3.530836724310506
employment_growth,0.0478227130056884,0.593945193665628
consumption_growth,0.8530301953922639,3.9615900652050557
investment_growth,1.1180381847582637,4.620788438784146
exports_growth,-0.40174970410009964,7.737698345063679
imports_growth,0.4862879569192933,8.151072567897316
m2_growth,3.9358379906101644,5.654403603197358
gdp_real_lag1,504439.98907103826,68456.49639365416
gdp_real_lag2,503656.5934065934,67817.79869254293
gdp_real_lag4,502063.68888888886,66471.45115188825
unemployment_rate_lag1,5.579288147540984,1.0176869517857128
unemployment_rate_lag2,5.584343582417582,1.0181875612899312
unemployment_rate_lag4,5.595312355555555,1.0184480675836096
cpi_annual_growth_lag1,1.9372045789862204,1.3887144045677593
cpi_annual_growth_lag2,1.9298728846599948,1.3889892959183108
cpi_annual_growth_lag4,1.9149651061966704,1.3894281552910972
industrial_production_index_lag1,90.4982120582878,14.430888766357848
industrial_production_index_lag2,90.44455772893775,14.452383107523248
industrial_production_index_lag4,90.3354605925926,14.495378098321252
interest_rate_short_term_lag1,5.735742349726776,4.581838225288997
interest_rate_short_term_lag2,5.74518489010989,4.5926919740635315
interest_rate_short_term_lag4,5.760854166666666,4.615827493620838
gdp_growth_yoy_lag1,0.8948313440806349,3.3796101370467255
gdp_growth_yoy_lag4,0.8932594227256193,3.408314104052022
trade_gdp_ratio,-0.0005173956414187311,0.00015480524519370054
gov_gdp_ratio,19.489265532331032,1.1273033416460556
gdp_growth_yoy_ma4,0.9024534600677944,2.485719743920196
unemployment_rate_ma4,5.580073538674033,1.008194163511426
cpi_annual_growth_ma4,1.9397691553488539,1.3527310040227076
gdp_real_diff,1106.4371584699454,11684.428621650091
employment_level_diff,0.0066284153005464535,0.09425700755689834
industrial_production_index_diff,0.17744938069216765,1.643627330884982
gdp_volatility_4q,0.9104100374874997,2.498125486567398
stock_volatility_4q,0.030870973700622254,0.03790931994985054
gdp_momentum,0.021009879514389564,5.480341243331963
inflation_momentum,0.046413704539002676,1.1059643928312002
high_inflation_regime,0.20108695652173914,0.4019065397753362
high_volatility_regime,0.24456521739130435,0.4310019158439492
inflation_x_volatility,3.341124640575993,12.10459402452298
unemployment_x_inflation,10.481299378517722,6.480617353602472
stock_returns_1q,0.3119970016785227,4.938945870042037
stock_volatility_4q_v6,3.087097370062231,3.7909319949850544
risk_adjusted_returns,0.13873803771296622,0.8831729256590622
unemployment_momentum_v6,-0.006185874316939891,0.17671876199931927
unemployment_vs_5y_avg,-0.07626624809782603,0.7482566715935463
inflation_acceleration_v6,0.011413206034180981,0.30615491652354315
inflation_z_score,0.3083594307713037,1.055490174984937
financial_conditions_index,-0.001500024094717621,0.6666353435142615
