Horizon,Model,R2,RMSE,MAE
1Q,Ridge,-0.6028749437235406,0.9282164664240379,0.7981568547549671
1Q,RandomForest,-4.560995436559316,1.7289232627797935,1.4189729816148218
1Q,GradientBoosting,-0.9531410510893967,1.0246280775008803,0.8363179779868358
1Q,Ensemble,-1.3884117923919255,1.1330629840486506,0.9251614544441081
2Q,Ridge,-0.5976521465106941,0.958456299480183,0.7992682359090901
2Q,RandomForest,-0.7476304827328937,1.0024345071887237,0.8433323768480833
2Q,GradientBoosting,-0.26650059335956455,0.8533631817065477,0.722358810263768
2Q,Ensemble,-0.24416813722943864,0.8458059579212038,0.7472506834673407
3Q,Ridge,-0.9524953067753641,1.0995463750888654,0.9834957956245732
3Q,RandomForest,-8.585562083814473,2.4362808078302076,2.0653218996164666
3Q,GradientBoosting,-1.4729592214118878,1.2374482029629774,1.0753295956231967
3Q,Ensemble,-2.0257660443848597,1.3687881106207005,1.131507868757231
4Q,Ridge,-1.495898368691197,1.2003598753315763,1.0738902281287963
4Q,RandomForest,-7.3120499700279336,2.19054456936295,1.9755734941415122
4Q,GradientBoosting,-0.0036064342148292017,0.761166628819868,0.5775074914276975
4Q,Ensemble,-1.0478750954504608,1.087300914749015,0.9763315923403355
