Country,Model,Horizon,Test_RMSE,Test_MAE,Test_R2,Test_MAPE
USA,Linear Regression,4,35.29871439236104,35.07577374165832,-2157.3493176026514,1787.066938569338
USA,Ridge,4,32.155105982768816,31.838357522383088,-1790.034074482512,1658.4439293145592
USA,LASSO,4,2.93232562074882,2.1900582392935206,-13.894582957425694,147.81592974567224
USA,Random Forest,4,4.084811262221322,3.43410160858491,-27.90333439148206,132.44116353762757
USA,XGBoost,4,2.6088209934743154,2.2357205699013534,-10.789422149052072,83.34343876545174
USA,Gradient Boosting,4,3.315629331879792,2.836078687069378,-18.04302351412845,110.71835887818378
Canada,Linear Regression,4,21.34776128145694,18.473173341520347,-828.2487068263242,3174.8959701086774
Canada,Ridge,4,35860.05222675566,26174.881987864115,-2339925136.2495923,9120954.39387786
Canada,LASSO,4,20.989411433731306,18.357128901536043,-800.6423432002467,3488.27240423903
Canada,Random Forest,4,1.7806729695968075,1.6707622725409166,-4.769636598640107,226.37241931890878
Canada,XGBoost,4,0.8524680357072665,0.6567019271844292,-0.32231929364441547,362.3625243555394
Canada,Gradient Boosting,4,1.1668215255282832,1.0666804016161402,-1.4773592651382068,91.13499682478763
Japan,Linear Regression,4,11.638549649173562,11.291341221655914,-172.19697630053136,1334.564088389016
Japan,Ridge,4,5.682379340185959,5.175055174845294,-40.286020504743576,637.9772222432458
Japan,LASSO,4,2.3143808425337933,1.758020204223721,-5.848764455143617,173.58381583917867
Japan,Random Forest,4,1.2410235972037842,1.0889146813518027,-0.9692581764200352,98.4810268493471
Japan,XGBoost,4,0.8703038005309051,0.6772703760204032,0.03153408885344833,71.33049019176566
Japan,Gradient Boosting,4,0.9935776128976314,0.7881541840314512,-0.26225230833415636,101.48068534257699
UK,Linear Regression,4,11.067916824999942,10.858202860000018,-641.4742952178851,1823.9202824751671
UK,Ridge,4,4.515524826179966,4.245676144635708,-105.94006698704625,579.3651957149975
UK,LASSO,4,7.886191757198111,7.636779489774802,-325.1809918984695,1192.0879784335712
UK,Random Forest,4,0.7771192850875668,0.6652010957490737,-2.1673740648042186,86.093007916609
UK,XGBoost,4,1.095742574474062,0.9718347548315134,-5.29710674959185,205.15941465269822
UK,Gradient Boosting,4,1.5433419022082746,1.1729457288167529,-11.492468937630704,211.3089289013549
